Player,Nation,Pos,Squad,MP,Starts,Min,Gls,Ast,G+A,Goal Contributions Per 90
William Saliba,fr FRA,DF,Arsenal,31,30,"2,614",1,0,1,0.034429992
Robert Sánchez,es ESP,GK,Chelsea,35,35,"3,039",0,1,1,0.029615005
Jadon Sancho,eng ENG,MF,Aston Villa,23,9,876,0,2,2,0.205479452
Ibrahim Sangaré,ci CIV,MF,Nottingham,28,25,"2,075",2,2,4,0.173493976
Andrey Santos,br BRA,MF,Chelsea,27,13,"1,260",1,0,1,0.071428571
Ismaila Sarr,sn SEN,MF,Crystal Palace,28,24,"2,174",9,1,10,0.413983441
Mamadou Sarr,sn SEN,DF,Chelsea,3,1,102,0,0,0,0
Sávio,br BRA,MF,Manchester City,24,7,833,1,1,2,0.216086435
Nicolò Savona,it ITA,DF,Nottingham,14,11,"1,028",2,0,2,0.175097276
Oliver Scarles,eng ENG,"DF,MF",West Ham,13,9,659,0,0,0,0
Dane Scarlett,eng ENG,FW,Tottenham,2,0,9,0,0,0,0
Kevin Schade,de GER,"MF,FW",Brentford,35,32,"2,745",8,3,11,0.360655738
Fabian Schär,ch SUI,DF,Newcastle,16,11,"1,091",0,0,0,0
Alex Scott,eng ENG,MF,Bournemouth,37,34,"2,849",3,1,4,0.126360126
Jenson Seelt,nl NED,DF,Sunderland,2,1,134,0,0,0,0
Matz Sels,be BEL,GK,Nottingham,31,30,"2,668",0,0,0,0
Antoine Semenyo,gh GHA,"MF,FW",Manchester City,17,17,"1,397",7,1,8,0.515390122
Antoine Semenyo,gh GHA,MF,Bournemouth,20,20,"1,798",10,3,13,0.650723026
Marcos Senesi,ar ARG,DF,Bournemouth,37,37,"3,288",0,5,5,0.136861314
Benjamin Šeško,si SVN,FW,Manchester Utd,30,17,"1,643",11,1,12,0.657334145
Ryan Sessegnon,eng ENG,"DF,MF",Fulham,27,20,"1,823",3,1,4,0.197476687
Luke Shaw,eng ENG,DF,Manchester Utd,38,38,"3,219",1,1,2,0.055917987
Bernardo Silva,pt POR,MF,Manchester City,38,34,"2,872",2,4,6,0.188022284
Jota Silva,pt POR,FW,Nottingham,1,0,12,0,0,0,0
Xavi Simons,nl NED,"MF,FW",Tottenham,28,19,"1,755",2,5,7,0.358974359
Adam Smith,eng ENG,DF,Bournemouth,22,14,"1,077",0,2,2,0.167130919
Emile Smith Rowe,eng ENG,MF,Fulham,37,22,"1,923",3,0,3,0.140405616
Dominic Solanke,eng ENG,FW,Tottenham,15,11,"1,001",3,0,3,0.26973027
Julio Soler,ar ARG,DF,Bournemouth,3,0,35,0,0,0,0
Oliver Sonne,pe PER,DF,Burnley,7,1,169,1,0,1,0.532544379
Borna Sosa,hr CRO,"DF,MF",Crystal Palace,7,0,101,0,0,0,0
Tomáš Souček,cz CZE,MF,West Ham,35,24,"2,200",5,0,5,0.204545455
Souza,br BRA,MF,Tottenham,4,2,144,0,0,0,0
Djed Spence,eng ENG,"DF,MF",Tottenham,30,23,"2,056",0,0,0,0
Anton Stach,de GER,MF,Leeds United,29,28,"2,370",5,3,8,0.303797468
John Stones,eng ENG,DF,Manchester City,9,5,439,0,0,0,0
Jørgen Strand Larsen,no NOR,FW,Wolves,22,14,"1,404",1,1,2,0.128205128
Jørgen Strand Larsen,no NOR,FW,Crystal Palace,14,12,903,3,0,3,0.299003322
Pascal Struijk,nl NED,DF,Leeds United,34,33,"2,936",0,1,1,0.030653951
Crysencio Summerville,nl NED,"MF,FW",West Ham,31,29,"2,470",5,2,7,0.255060729
Dominik Szoboszlai,hu HUN,"MF,DF",Liverpool,36,36,"3,231",6,7,13,0.362116992
Jocelin Ta Bi,ci CIV,MF,Sunderland,1,1,38,0,0,0,0
Chemsdine Talbi,ma MAR,"MF,FW",Sunderland,28,16,"1,561",4,1,5,0.288276746
Ao Tanaka,jp JPN,MF,Leeds United,28,14,"1,315",2,0,2,0.136882129
James Tarkowski,eng ENG,DF,Everton,37,37,"3,330",2,3,5,0.135135135
Marcus Tavernier,eng ENG,MF,Bournemouth,34,31,"2,731",7,4,11,0.362504577
Loum Tchaouna,fr FRA,"MF,FW",Burnley,29,14,"1,272",2,1,3,0.212264151
Jackson Tchatchoua,cm CMR,"MF,DF",Wolves,31,19,"1,845",0,1,1,0.048780488
Mathys Tel,fr FRA,"MF,FW",Tottenham,31,13,"1,349",4,1,5,0.33358043
Kenny Tete,nl NED,DF,Fulham,22,21,"1,791",1,0,1,0.050251256
Igor Thiago,br BRA,FW,Brentford,38,37,"3,282",22,1,23,0.63071298
Malick Thiaw,de GER,DF,Newcastle,35,33,"2,965",4,0,4,0.121416526
Youri Tielemans,be BEL,MF,Aston Villa,25,21,"1,862",0,4,4,0.193340494
Jurriën Timber,nl NED,DF,Arsenal,30,28,"2,454",3,5,8,0.293398533
Jean-Clair Todibo,fr FRA,DF,West Ham,23,22,"1,814",0,1,1,0.049614112
Sandro Tonali,it ITA,MF,Newcastle,35,31,"2,534",0,2,2,0.071033938
Pau Torres,es ESP,DF,Aston Villa,21,18,"1,676",0,0,0,0
Alex Tóth,hu HUN,MF,Bournemouth,9,2,140,0,0,0,0
James Trafford,eng ENG,GK,Manchester City,4,4,360,0,0,0,0
James Trafford,eng ENG,GK,Manchester City,4,4,360,0,0,0,0
Adama Traoré,es ESP,"FW,MF",West Ham,9,0,121,0,0,0,0
Adama Traoré,es ESP,MF,Fulham,15,1,274,0,0,0,0
Bertrand Traoré,bf BFA,"MF,FW",Sunderland,12,9,632,1,0,1,0.142405063
Mike Trésor,be BEL,"FW,MF",Burnley,6,0,43,0,0,0,0
Kieran Trippier,eng ENG,DF,Newcastle,21,18,"1,586",0,1,1,0.056746532
Leandro Trossard,be BEL,"FW,MF",Arsenal,31,21,"2,000",6,6,12,0.54
Adrien Truffert,fr FRA,DF,Bournemouth,38,38,"3,379",1,5,6,0.159810595
Axel Tuanzebe,cd COD,DF,Burnley,14,14,"1,201",1,0,1,0.074937552
Stefanos Tzimas,gr GRE,FW,Brighton,9,1,139,1,1,2,1.294964029
Christantus Uche,ng NGA,FW,Crystal Palace,14,0,173,0,0,0,0
Destiny Udogie,it ITA,"DF,MF",Tottenham,20,14,"1,338",0,1,1,0.067264574
Manuel Ugarte,uy URU,MF,Manchester Utd,22,8,887,0,0,0,0
Lesley Ugochukwu,fr FRA,MF,Burnley,35,27,"2,336",3,1,4,0.154109589
Enes Ünal,tr TUR,FW,Bournemouth,23,0,232,1,0,1,0.387931034
Hákon Valdimarsson,is ISL,GK,Brentford,1,1,90,0,0,0,0
Virgil van Dijk,nl NED,DF,Liverpool,38,38,"3,420",6,0,6,0.157894737
Joël Veltman,nl NED,DF,Brighton,24,9,"1,058",1,0,1,0.085066163
Micky van de Ven,nl NED,DF,Tottenham,35,35,"3,041",4,1,5,0.147977639
Bart Verbruggen,nl NED,GK,Brighton,38,38,"3,420",0,0,0,0
Guglielmo Vicario,it ITA,GK,Tottenham,31,31,"2,790",0,0,0,0
Kyle Walker,eng ENG,"DF,MF",Burnley,36,35,"3,096",0,2,2,0.058139535
Kyle Walker-Peters,eng ENG,DF,West Ham,23,15,"1,383",1,0,1,0.065075922
Aaron Wan-Bissaka,cd COD,"DF,MF",West Ham,25,23,"2,081",0,2,2,0.086496877
James Ward-Prowse,eng ENG,MF,Burnley,13,7,684,0,1,1,0.131578947
James Ward-Prowse,eng ENG,MF,West Ham,5,5,413,0,0,0,0
Ollie Watkins,eng ENG,FW,Aston Villa,37,33,"2,839",16,3,19,0.602324762
Tom Watson,eng ENG,MF,Brighton,6,0,62,0,0,0,0
Max Weiß,de GER,GK,Burnley,3,3,270,0,0,0,0
Danny Welbeck,eng ENG,FW,Brighton,37,26,"2,258",13,1,14,0.558015943
Adam Wharton,eng ENG,MF,Crystal Palace,34,29,"2,552",1,5,6,0.211598746
Ben White,eng ENG,DF,Arsenal,12,9,702,0,1,1,0.128205128
Mats Wieffer,nl NED,DF,Brighton,26,23,"1,903",2,3,5,0.236468734
Neco Williams,wls WAL,DF,Nottingham,37,36,"3,204",2,3,5,0.140449438
Estêvão Willian,br BRA,MF,Chelsea,22,12,848,2,2,4,0.424528302
Joe Willock,eng ENG,MF,Newcastle,24,10,983,0,2,2,0.18311292
Callum Wilson,eng ENG,FW,West Ham,32,11,"1,251",7,1,8,0.575539568
Harry Wilson,wls WAL,MF,Fulham,36,32,"2,673",10,7,17,0.572390572
Ben Winterburn,eng ENG,MF,Bournemouth,1,0,7,0,0,0,0
Florian Wirtz,de GER,MF,Liverpool,33,27,"2,378",5,3,8,0.302775442
Yoane Wissa,cd COD,FW,Newcastle,19,4,531,1,1,2,0.338983051
Nick Woltemade,de GER,"FW,MF",Newcastle,33,24,"1,902",8,3,11,0.520504732
Chris Wood,nz NZL,FW,Nottingham,15,11,901,3,0,3,0.299667037
Freddie Woodman,eng ENG,GK,Liverpool,3,2,213,0,0,0,0
Joe Worrall,eng ENG,DF,Burnley,11,5,500,0,0,0,0
Granit Xhaka,ch SUI,MF,Sunderland,34,32,"2,904",1,6,7,0.216942149
Yehor Yarmoliuk,ua UKR,MF,Brentford,37,30,"2,659",1,2,3,0.101541933
Ryan Yates,eng ENG,MF,Nottingham,22,2,617,0,2,2,0.291734198
Leny Yoro,fr FRA,DF,Manchester Utd,32,18,"1,740",0,0,0,0
Oleksandr Zinchenko,ua UKR,DF,Nottingham,5,4,353,0,0,0,0
Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,24,5,626,2,1,3,0.431309904
Martín Zubimendi,es ESP,MF,Arsenal,38,34,"2,992",5,1,6,0.180481283
Martin Odegaard,no NOR,MF,Arsenal,24,16,"1,369",1,6,7,0.46018992
